"Cidade","Rede","Série","Disciplina","Matriculados na Série","Taxa de Participação (%)","Percentual Insuficiente (%)","Percentual Básico (%)","Percentual Proficiente (%)","Percentual Avançado (%)","Percentual Aprendizado Adequado (%)","Crescimento entre 2011 e 2013 (pp*)"
"Santo André","Municipal","5º ano","Português","41","100","31.55","52.05","11.99","4.41","16.41","3.43"
"São Bentinho","Municipal","5º ano","Português","40","100","14.99","37.51","32.51","14.99","47.5","7.22"
"São Bento","Municipal","5º ano","Português","353","88.09999999999999","26.59","42.79","25.18","5.44","30.62","-0.25"
"São Domingos De Pombal","Municipal","5º ano","Português","40","85","26.46","47.05","23.54","2.95","26.46","13.55"
"São Domingos Do Cariri","Municipal","5º ano","Português","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*"
"São Francisco","Municipal","5º ano","Português","66","95.45","25.56","34.67","36.74","3.03","39.76","6.45"
"São João Do Cariri","Municipal","5º ano","Português","28","89.29000000000001","40.02","27.99","27.99","4","31.99","7.56"
"São João Do Rio Do Peixe","Municipal","5º ano","Português","58","94.83","44.93","39.46","12.63","2.98","15.61","0"
"São João Do Tigre","Municipal","5º ano","Português","51","100","31.37","39.21","27.46","1.96","29.41","17.43"
"São José Da Lagoa Tapada","Municipal","5º ano","Português","60","95","33.26","19.02","39.16","8.56","47.73","23.57"
"São José De Caiana","Municipal","5º ano","Português","35","71.43000000000001","50.8","49.2","0","0","0","-8.49"
"São José De Espinharas","Municipal","5º ano","Português","49","97.95999999999999","52.84","26.76","18.36","2.04","20.42","20.4"
"São José De Piranhas","Municipal","5º ano","Português","52","86.54000000000001","12","40","35.01","12.99","47.99","0"
"São José De Princesa","Municipal","5º ano","Português","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*"
"São José Do Bonfim","Municipal","5º ano","Português","35","100","45.72","34.29","17.13","2.86","19.99","12.62"
"São José Do Brejo Do Cruz","Municipal","5º ano","Português","25","92","30.43","56.54","13.03","0","13.03","0"
"São José Do Sabugi","Municipal","5º ano","Português","49","95.92","27.64","38.78","31.36","2.22","33.57","21.34"
"São José Dos Cordeiros","Municipal","5º ano","Português","34","97.06","21.22","45.44","30.31","3.03","33.33","0"
"São José Dos Ramos","Municipal","5º ano","Português","62","80.65000000000001","31.28","56.86","10.17","1.69","11.87","-7.85"
"São Mamede","Municipal","5º ano","Português","88","97.73","14.37","46.57","30.06","9","39.06","5.95"
"São Miguel De Taipu","Municipal","5º ano","Português","58","93.09999999999999","55.21","35.84","8.949999999999999","0","8.94","0.51"
"São Sebastião De Lagoa De Roça","Municipal","5º ano","Português","53","92.45","17.39","49.86","30.32","2.43","32.76","2.8"
"São Sebastião Do Umbuzeiro  ","Municipal","5º ano","Português","56","92.86","28.85","50","17.31","3.84","21.15","9.550000000000001"
"Sapé","Municipal","5º ano","Português","370","84.31999999999999","44.94","44.16","9.109999999999999","1.79","10.9","0.97"
"Seridó","Municipal","5º ano","Português","85","92.94","36.52","36.4","17.71","9.369999999999999","27.08","9.6"
"Serra Branca","Municipal","5º ano","Português","76","84.20999999999999","36.31","42.5","18.16","3.03","21.19","0.3"
"Serra Da Raiz","Municipal","5º ano","Português","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*"
"Serra Grande","Municipal","5º ano","Português","30","96.67","27.58","41.37","24.15","6.9","31.05","0"
"Serra Redonda","Municipal","5º ano","Português","62","91.94","33.02","52.63","7.17","7.18","14.36","-0.66"
"Serraria","Municipal","5º ano","Português","37","89.19","46.41","42.14","11.45","0","11.45","-21.21"
